control_id,initiative_id,control_name,required,status,evidence_date
AI-007-C5,AI-007,Human oversight,Yes,Pass,2025-06-02
AI-007-C6,AI-007,Model monitoring,Yes,Pass,2025-07-03
AI-008-C1,AI-008,Use-case inventory,Yes,Pass,2025-02-02
AI-008-C2,AI-008,Data lineage review,Yes,Pass,2025-03-05
AI-008-C3,AI-008,Privacy assessment,Yes,Pass,2025-04-05
AI-008-C4,AI-008,Security review,Yes,Pass,2025-05-06
AI-008-C5,AI-008,Human oversight,Yes,Pass,2025-06-06
AI-008-C6,AI-008,Model monitoring,Yes,Pass,2025-07-07
AI-009-C1,AI-009,Use-case inventory,Yes,Pass,2025-02-06
AI-009-C2,AI-009,Data lineage review,Yes,Pass,2025-03-09
AI-009-C3,AI-009,Privacy assessment,Yes,Gap,2025-04-09
AI-009-C4,AI-009,Security review,Yes,Pass,2025-05-10
AI-009-C5,AI-009,Human oversight,Yes,Pass,2025-06-10
AI-009-C6,AI-009,Model monitoring,Yes,Pass,2025-07-11
AI-010-C1,AI-010,Use-case inventory,Yes,Pass,2025-02-10
AI-010-C2,AI-010,Data lineage review,Yes,Pass,2025-03-13
AI-010-C3,AI-010,Privacy assessment,Yes,Pass,2025-04-13
AI-010-C4,AI-010,Security review,Yes,Gap,2025-05-14
AI-010-C5,AI-010,Human oversight,Yes,Pass,2025-06-14
AI-010-C6,AI-010,Model monitoring,Yes,Pass,2025-07-15
AI-011-C1,AI-011,Use-case inventory,Yes,Pass,2025-02-14
AI-011-C2,AI-011,Data lineage review,Yes,Pass,2025-03-17
AI-011-C3,AI-011,Privacy assessment,Yes,Pass,2025-04-17
AI-011-C4,AI-011,Security review,Yes,Pass,2025-05-18
AI-011-C5,AI-011,Human oversight,Yes,Pass,2025-06-18
AI-011-C6,AI-011,Model monitoring,Yes,Pass,2025-07-19
AI-012-C1,AI-012,Use-case inventory,Yes,Pass,2025-02-18
AI-012-C2,AI-012,Data lineage review,Yes,Pass,2025-03-21
AI-012-C3,AI-012,Privacy assessment,Yes,Pass,2025-04-21
AI-012-C4,AI-012,Security review,Yes,Pass,2025-05-22
AI-012-C5,AI-012,Human oversight,Yes,Pass,2025-06-22
AI-012-C6,AI-012,Model monitoring,Yes,Pass,2025-07-23
AI-013-C1,AI-013,Use-case inventory,Yes,Pass,2025-02-22
AI-013-C2,AI-013,Data lineage review,Yes,Gap,2025-03-25
AI-013-C3,AI-013,Privacy assessment,Yes,Pass,2025-04-25
AI-013-C4,AI-013,Security review,Yes,Pass,2025-05-26
AI-013-C5,AI-013,Human oversight,Yes,Pass,2025-06-26
AI-013-C6,AI-013,Model monitoring,Yes,Pass,2025-07-27
AI-014-C1,AI-014,Use-case inventory,Yes,Pass,2025-02-26
AI-014-C2,AI-014,Data lineage review,Yes,Pass,2025-03-29
AI-014-C3,AI-014,Privacy assessment,Yes,Gap,2025-04-29
AI-014-C4,AI-014,Security review,Yes,Pass,2025-05-30
AI-014-C5,AI-014,Human oversight,Yes,Pass,2025-06-30
AI-014-C6,AI-014,Model monitoring,Yes,Gap,2025-07-31
AI-015-C1,AI-015,Use-case inventory,Yes,Pass,2025-03-02
AI-015-C2,AI-015,Data lineage review,Yes,Pass,2025-04-02
AI-015-C3,AI-015,Privacy assessment,Yes,Pass,2025-05-03
AI-015-C4,AI-015,Security review,Yes,Pass,2025-06-03
AI-015-C5,AI-015,Human oversight,Yes,Pass,2025-07-04
AI-015-C6,AI-015,Model monitoring,Yes,Pass,2025-08-04
AI-016-C1,AI-016,Use-case inventory,Yes,Pass,2025-03-06
AI-016-C2,AI-016,Data lineage review,Yes,Pass,2025-04-06
AI-016-C3,AI-016,Privacy assessment,Yes,Pass,2025-05-07
AI-016-C4,AI-016,Security review,Yes,Pass,2025-06-07
AI-016-C5,AI-016,Human oversight,Yes,Pass,2025-07-08
AI-016-C6,AI-016,Model monitoring,Yes,Pass,2025-08-08
AI-017-C1,AI-017,Use-case inventory,Yes,Gap,2025-03-10
AI-017-C2,AI-017,Data lineage review,Yes,Pass,2025-04-10
AI-017-C3,AI-017,Privacy assessment,Yes,Pass,2025-05-11
AI-017-C4,AI-017,Security review,Yes,Pass,2025-06-11
AI-017-C5,AI-017,Human oversight,Yes,Pass,2025-07-12
AI-017-C6,AI-017,Model monitoring,Yes,Pass,2025-08-12
AI-018-C1,AI-018,Use-case inventory,Yes,Pass,2025-03-14
AI-018-C2,AI-018,Data lineage review,Yes,Gap,2025-04-14
AI-018-C3,AI-018,Privacy assessment,Yes,Pass,2025-05-15
AI-018-C4,AI-018,Security review,Yes,Pass,2025-06-15
AI-018-C5,AI-018,Human oversight,Yes,Gap,2025-07-16
AI-018-C6,AI-018,Model monitoring,Yes,Pass,2025-08-16
AI-019-C1,AI-019,Use-case inventory,Yes,Pass,2025-03-18
AI-019-C2,AI-019,Data lineage review,Yes,Pass,2025-04-18
AI-019-C3,AI-019,Privacy assessment,Yes,Pass,2025-05-19
AI-019-C4,AI-019,Security review,Yes,Pass,2025-06-19
AI-019-C5,AI-019,Human oversight,Yes,Pass,2025-07-20
AI-019-C6,AI-019,Model monitoring,Yes,Gap,2025-08-20
AI-020-C1,AI-020,Use-case inventory,Yes,Pass,2025-03-22
AI-020-C2,AI-020,Data lineage review,Yes,Pass,2025-04-22
AI-020-C3,AI-020,Privacy assessment,Yes,Pass,2025-05-23
AI-020-C4,AI-020,Security review,Yes,Pass,2025-06-23
AI-020-C5,AI-020,Human oversight,Yes,Pass,2025-07-24
AI-020-C6,AI-020,Model monitoring,Yes,Pass,2025-08-24
AI-021-C1,AI-021,Use-case inventory,Yes,Pass,2025-03-26
AI-021-C2,AI-021,Data lineage review,Yes,Pass,2025-04-26
AI-021-C3,AI-021,Privacy assessment,Yes,Pass,2025-05-27
AI-021-C4,AI-021,Security review,Yes,Pass,2025-06-27
AI-021-C5,AI-021,Human oversight,Yes,Pass,2025-07-28
AI-021-C6,AI-021,Model monitoring,Yes,Pass,2025-08-28
AI-022-C1,AI-022,Use-case inventory,Yes,Gap,2025-03-30
AI-022-C2,AI-022,Data lineage review,Yes,Pass,2025-04-30
AI-022-C3,AI-022,Privacy assessment,Yes,Pass,2025-05-31
AI-022-C4,AI-022,Security review,Yes,Gap,2025-07-01
AI-022-C5,AI-022,Human oversight,Yes,Pass,2025-08-01
AI-022-C6,AI-022,Model monitoring,Yes,Pass,2025-09-01
AI-023-C1,AI-023,Use-case inventory,Yes,Pass,2025-04-03
AI-023-C2,AI-023,Data lineage review,Yes,Pass,2025-05-04
AI-023-C3,AI-023,Privacy assessment,Yes,Pass,2025-06-04
AI-023-C4,AI-023,Security review,Yes,Pass,2025-07-05
AI-023-C5,AI-023,Human oversight,Yes,Gap,2025-08-05
AI-023-C6,AI-023,Model monitoring,Yes,Pass,2025-09-05
AI-024-C1,AI-024,Use-case inventory,Yes,Pass,2025-04-07
AI-024-C2,AI-024,Data lineage review,Yes,Pass,2025-05-08
AI-024-C3,AI-024,Privacy assessment,Yes,Pass,2025-06-08
AI-024-C4,AI-024,Security review,Yes,Pass,2025-07-09
AI-024-C5,AI-024,Human oversight,Yes,Pass,2025-08-09
AI-024-C6,AI-024,Model monitoring,Yes,Pass,2025-09-09
AI-025-C1,AI-025,Use-case inventory,Yes,Pass,2025-04-11
AI-025-C2,AI-025,Data lineage review,Yes,Pass,2025-05-12
AI-025-C3,AI-025,Privacy assessment,Yes,Pass,2025-06-12
AI-025-C4,AI-025,Security review,Yes,Pass,2025-07-13
AI-025-C5,AI-025,Human oversight,Yes,Pass,2025-08-13
AI-025-C6,AI-025,Model monitoring,Yes,Pass,2025-09-13
AI-026-C1,AI-026,Use-case inventory,Yes,Pass,2025-04-15
AI-026-C2,AI-026,Data lineage review,Yes,Pass,2025-05-16
AI-026-C3,AI-026,Privacy assessment,Yes,Gap,2025-06-16
AI-026-C4,AI-026,Security review,Yes,Pass,2025-07-17
AI-026-C5,AI-026,Human oversight,Yes,Pass,2025-08-17
AI-026-C6,AI-026,Model monitoring,Yes,Pass,2025-09-17
AI-027-C1,AI-027,Use-case inventory,Yes,Pass,2025-04-19
AI-027-C2,AI-027,Data lineage review,Yes,Pass,2025-05-20
AI-027-C3,AI-027,Privacy assessment,Yes,Pass,2025-06-20
AI-027-C4,AI-027,Security review,Yes,Gap,2025-07-21
AI-027-C5,AI-027,Human oversight,Yes,Pass,2025-08-21
AI-027-C6,AI-027,Model monitoring,Yes,Pass,2025-09-21
AI-028-C1,AI-028,Use-case inventory,Yes,Pass,2025-04-23
AI-028-C2,AI-028,Data lineage review,Yes,Pass,2025-05-24
AI-028-C3,AI-028,Privacy assessment,Yes,Pass,2025-06-24
AI-028-C4,AI-028,Security review,Yes,Pass,2025-07-25
AI-028-C5,AI-028,Human oversight,Yes,Pass,2025-08-25
AI-028-C6,AI-028,Model monitoring,Yes,Pass,2025-09-25
AI-029-C1,AI-029,Use-case inventory,Yes,Pass,2025-04-27
AI-029-C2,AI-029,Data lineage review,Yes,Pass,2025-05-28
AI-029-C3,AI-029,Privacy assessment,Yes,Pass,2025-06-28
AI-029-C4,AI-029,Security review,Yes,Pass,2025-07-29
AI-029-C5,AI-029,Human oversight,Yes,Pass,2025-08-29
AI-029-C6,AI-029,Model monitoring,Yes,Pass,2025-09-29
AI-030-C1,AI-030,Use-case inventory,Yes,Pass,2025-05-01
AI-030-C2,AI-030,Data lineage review,Yes,Gap,2025-06-01
AI-030-C3,AI-030,Privacy assessment,Yes,Pass,2025-07-02
AI-030-C4,AI-030,Security review,Yes,Pass,2025-08-02
AI-030-C5,AI-030,Human oversight,Yes,Pass,2025-09-02
AI-030-C6,AI-030,Model monitoring,Yes,Pass,2025-10-03
AI-031-C1,AI-031,Use-case inventory,Yes,Pass,2025-05-05
AI-031-C2,AI-031,Data lineage review,Yes,Pass,2025-06-05
AI-031-C3,AI-031,Privacy assessment,Yes,Gap,2025-07-06
AI-031-C4,AI-031,Security review,Yes,Pass,2025-08-06
AI-031-C5,AI-031,Human oversight,Yes,Pass,2025-09-06
AI-031-C6,AI-031,Model monitoring,Yes,Gap,2025-10-07
AI-032-C1,AI-032,Use-case inventory,Yes,Pass,2025-05-09
AI-032-C2,AI-032,Data lineage review,Yes,Pass,2025-06-09
AI-032-C3,AI-032,Privacy assessment,Yes,Pass,2025-07-10
AI-032-C4,AI-032,Security review,Yes,Pass,2025-08-10
AI-032-C5,AI-032,Human oversight,Yes,Pass,2025-09-10
AI-032-C6,AI-032,Model monitoring,Yes,Pass,2025-10-11
AI-033-C1,AI-033,Use-case inventory,Yes,Pass,2025-05-13
AI-033-C2,AI-033,Data lineage review,Yes,Pass,2025-06-13
AI-033-C3,AI-033,Privacy assessment,Yes,Pass,2025-07-14
AI-033-C4,AI-033,Security review,Yes,Pass,2025-08-14
AI-033-C5,AI-033,Human oversight,Yes,Pass,2025-09-14
AI-033-C6,AI-033,Model monitoring,Yes,Pass,2025-10-15
AI-034-C1,AI-034,Use-case inventory,Yes,Gap,2025-05-17
AI-034-C2,AI-034,Data lineage review,Yes,Pass,2025-06-17
AI-034-C3,AI-034,Privacy assessment,Yes,Pass,2025-07-18
AI-034-C4,AI-034,Security review,Yes,Pass,2025-08-18
AI-034-C5,AI-034,Human oversight,Yes,Pass,2025-09-18
AI-034-C6,AI-034,Model monitoring,Yes,Pass,2025-10-19
AI-035-C1,AI-035,Use-case inventory,Yes,Pass,2025-05-21
AI-035-C2,AI-035,Data lineage review,Yes,Gap,2025-06-21
AI-035-C3,AI-035,Privacy assessment,Yes,Pass,2025-07-22
AI-035-C4,AI-035,Security review,Yes,Pass,2025-08-22
AI-035-C5,AI-035,Human oversight,Yes,Gap,2025-09-22
AI-035-C6,AI-035,Model monitoring,Yes,Pass,2025-10-23
AI-036-C1,AI-036,Use-case inventory,Yes,Pass,2025-05-25
AI-036-C2,AI-036,Data lineage review,Yes,Pass,2025-06-25
AI-036-C3,AI-036,Privacy assessment,Yes,Pass,2025-07-26
AI-036-C4,AI-036,Security review,Yes,Pass,2025-08-26
AI-036-C5,AI-036,Human oversight,Yes,Pass,2025-09-26
AI-036-C6,AI-036,Model monitoring,Yes,Gap,2025-10-27
AI-037-C1,AI-037,Use-case inventory,Yes,Pass,2025-05-29
AI-037-C2,AI-037,Data lineage review,Yes,Pass,2025-06-29
AI-037-C3,AI-037,Privacy assessment,Yes,Pass,2025-07-30
AI-037-C4,AI-037,Security review,Yes,Pass,2025-08-30
AI-037-C5,AI-037,Human oversight,Yes,Pass,2025-09-30
AI-037-C6,AI-037,Model monitoring,Yes,Pass,2025-10-31
AI-038-C1,AI-038,Use-case inventory,Yes,Pass,2025-06-02
AI-038-C2,AI-038,Data lineage review,Yes,Pass,2025-07-03
AI-038-C3,AI-038,Privacy assessment,Yes,Pass,2025-08-03
AI-038-C4,AI-038,Security review,Yes,Pass,2025-09-03
AI-038-C5,AI-038,Human oversight,Yes,Pass,2025-10-04
AI-038-C6,AI-038,Model monitoring,Yes,Pass,2025-11-04
AI-039-C1,AI-039,Use-case inventory,Yes,Gap,2025-06-06
AI-039-C2,AI-039,Data lineage review,Yes,Pass,2025-07-07
AI-039-C3,AI-039,Privacy assessment,Yes,Pass,2025-08-07
AI-039-C4,AI-039,Security review,Yes,Gap,2025-09-07
AI-039-C5,AI-039,Human oversight,Yes,Pass,2025-10-08
AI-039-C6,AI-039,Model monitoring,Yes,Pass,2025-11-08
AI-040-C1,AI-040,Use-case inventory,Yes,Pass,2025-06-10
AI-040-C2,AI-040,Data lineage review,Yes,Pass,2025-07-11
AI-040-C3,AI-040,Privacy assessment,Yes,Pass,2025-08-11
AI-040-C4,AI-040,Security review,Yes,Pass,2025-09-11
AI-040-C5,AI-040,Human oversight,Yes,Gap,2025-10-12
AI-040-C6,AI-040,Model monitoring,Yes,Pass,2025-11-12
AI-041-C1,AI-041,Use-case inventory,Yes,Pass,2025-06-14
AI-041-C2,AI-041,Data lineage review,Yes,Pass,2025-07-15
AI-041-C3,AI-041,Privacy assessment,Yes,Pass,2025-08-15
AI-041-C4,AI-041,Security review,Yes,Pass,2025-09-15
AI-041-C5,AI-041,Human oversight,Yes,Pass,2025-10-16
AI-041-C6,AI-041,Model monitoring,Yes,Pass,2025-11-16
AI-042-C1,AI-042,Use-case inventory,Yes,Pass,2025-06-18
AI-042-C2,AI-042,Data lineage review,Yes,Pass,2025-07-19
AI-042-C3,AI-042,Privacy assessment,Yes,Pass,2025-08-19
AI-042-C4,AI-042,Security review,Yes,Pass,2025-09-19
AI-042-C5,AI-042,Human oversight,Yes,Pass,2025-10-20
AI-042-C6,AI-042,Model monitoring,Yes,Pass,2025-11-20
AI-043-C1,AI-043,Use-case inventory,Yes,Pass,2025-06-22
AI-043-C2,AI-043,Data lineage review,Yes,Pass,2025-07-23
AI-043-C3,AI-043,Privacy assessment,Yes,Gap,2025-08-23
AI-043-C4,AI-043,Security review,Yes,Pass,2025-09-23
AI-043-C5,AI-043,Human oversight,Yes,Pass,2025-10-24
AI-043-C6,AI-043,Model monitoring,Yes,Pass,2025-11-24
AI-044-C1,AI-044,Use-case inventory,Yes,Pass,2025-06-26
AI-044-C2,AI-044,Data lineage review,Yes,Pass,2025-07-27
AI-044-C3,AI-044,Privacy assessment,Yes,Pass,2025-08-27
AI-044-C4,AI-044,Security review,Yes,Gap,2025-09-27
AI-044-C5,AI-044,Human oversight,Yes,Pass,2025-10-28
AI-044-C6,AI-044,Model monitoring,Yes,Pass,2025-11-28
AI-045-C1,AI-045,Use-case inventory,Yes,Pass,2025-06-30
AI-045-C2,AI-045,Data lineage review,Yes,Pass,2025-07-31
AI-045-C3,AI-045,Privacy assessment,Yes,Pass,2025-08-31
AI-045-C4,AI-045,Security review,Yes,Pass,2025-10-01
AI-045-C5,AI-045,Human oversight,Yes,Pass,2025-11-01
AI-045-C6,AI-045,Model monitoring,Yes,Pass,2025-12-02
AI-046-C1,AI-046,Use-case inventory,Yes,Pass,2025-07-04
AI-046-C2,AI-046,Data lineage review,Yes,Pass,2025-08-04
AI-046-C3,AI-046,Privacy assessment,Yes,Pass,2025-09-04
AI-046-C4,AI-046,Security review,Yes,Pass,2025-10-05
AI-046-C5,AI-046,Human oversight,Yes,Pass,2025-11-05
AI-046-C6,AI-046,Model monitoring,Yes,Pass,2025-12-06
AI-047-C1,AI-047,Use-case inventory,Yes,Pass,2025-07-08
AI-047-C2,AI-047,Data lineage review,Yes,Gap,2025-08-08
AI-047-C3,AI-047,Privacy assessment,Yes,Pass,2025-09-08
AI-047-C4,AI-047,Security review,Yes,Pass,2025-10-09
AI-047-C5,AI-047,Human oversight,Yes,Pass,2025-11-09
AI-047-C6,AI-047,Model monitoring,Yes,Pass,2025-12-10
AI-048-C1,AI-048,Use-case inventory,Yes,Pass,2025-07-12
AI-048-C2,AI-048,Data lineage review,Yes,Pass,2025-08-12
AI-048-C3,AI-048,Privacy assessment,Yes,Gap,2025-09-12
AI-048-C4,AI-048,Security review,Yes,Pass,2025-10-13
AI-048-C5,AI-048,Human oversight,Yes,Pass,2025-11-13
AI-048-C6,AI-048,Model monitoring,Yes,Gap,2025-12-14
AI-049-C1,AI-049,Use-case inventory,Yes,Pass,2025-07-16
AI-049-C2,AI-049,Data lineage review,Yes,Pass,2025-08-16
AI-049-C3,AI-049,Privacy assessment,Yes,Pass,2025-09-16
AI-049-C4,AI-049,Security review,Yes,Pass,2025-10-17
AI-049-C5,AI-049,Human oversight,Yes,Pass,2025-11-17
AI-049-C6,AI-049,Model monitoring,Yes,Pass,2025-12-18
AI-050-C1,AI-050,Use-case inventory,Yes,Pass,2025-07-20
AI-050-C2,AI-050,Data lineage review,Yes,Pass,2025-08-20
AI-050-C3,AI-050,Privacy assessment,Yes,Pass,2025-09-20
AI-050-C4,AI-050,Security review,Yes,Pass,2025-10-21
AI-050-C5,AI-050,Human oversight,Yes,Pass,2025-11-21
AI-050-C6,AI-050,Model monitoring,Yes,Pass,2025-12-22
AI-051-C1,AI-051,Use-case inventory,Yes,Gap,2025-07-24
AI-051-C2,AI-051,Data lineage review,Yes,Pass,2025-08-24
AI-051-C3,AI-051,Privacy assessment,Yes,Pass,2025-09-24
AI-051-C4,AI-051,Security review,Yes,Pass,2025-10-25
AI-051-C5,AI-051,Human oversight,Yes,Pass,2025-11-25
AI-051-C6,AI-051,Model monitoring,Yes,Pass,2025-12-26
AI-052-C1,AI-052,Use-case inventory,Yes,Pass,2025-07-28
AI-052-C2,AI-052,Data lineage review,Yes,Gap,2025-08-28
AI-052-C3,AI-052,Privacy assessment,Yes,Pass,2025-09-28
AI-052-C4,AI-052,Security review,Yes,Pass,2025-10-29
AI-052-C5,AI-052,Human oversight,Yes,Gap,2025-11-29
AI-052-C6,AI-052,Model monitoring,Yes,Pass,2025-12-30
AI-053-C1,AI-053,Use-case inventory,Yes,Pass,2025-08-01
AI-053-C2,AI-053,Data lineage review,Yes,Pass,2025-09-01
AI-053-C3,AI-053,Privacy assessment,Yes,Pass,2025-10-02
AI-053-C4,AI-053,Security review,Yes,Pass,2025-11-02
AI-053-C5,AI-053,Human oversight,Yes,Pass,2025-12-03
AI-053-C6,AI-053,Model monitoring,Yes,Gap,2026-01-03
AI-054-C1,AI-054,Use-case inventory,Yes,Pass,2025-08-05
AI-054-C2,AI-054,Data lineage review,Yes,Pass,2025-09-05
AI-054-C3,AI-054,Privacy assessment,Yes,Pass,2025-10-06
AI-054-C4,AI-054,Security review,Yes,Pass,2025-11-06
AI-054-C5,AI-054,Human oversight,Yes,Pass,2025-12-07
AI-054-C6,AI-054,Model monitoring,Yes,Pass,2026-01-07
AI-055-C1,AI-055,Use-case inventory,Yes,Pass,2025-08-09
AI-055-C2,AI-055,Data lineage review,Yes,Pass,2025-09-09
AI-055-C3,AI-055,Privacy assessment,Yes,Pass,2025-10-10
AI-055-C4,AI-055,Security review,Yes,Pass,2025-11-10
AI-055-C5,AI-055,Human oversight,Yes,Pass,2025-12-11
AI-055-C6,AI-055,Model monitoring,Yes,Pass,2026-01-11
AI-056-C1,AI-056,Use-case inventory,Yes,Gap,2025-08-13
AI-056-C2,AI-056,Data lineage review,Yes,Pass,2025-09-13
AI-056-C3,AI-056,Privacy assessment,Yes,Pass,2025-10-14
AI-056-C4,AI-056,Security review,Yes,Gap,2025-11-14
AI-056-C5,AI-056,Human oversight,Yes,Pass,2025-12-15
AI-056-C6,AI-056,Model monitoring,Yes,Pass,2026-01-15
AI-057-C1,AI-057,Use-case inventory,Yes,Pass,2025-08-17
AI-057-C2,AI-057,Data lineage review,Yes,Pass,2025-09-17
AI-057-C3,AI-057,Privacy assessment,Yes,Pass,2025-10-18
AI-057-C4,AI-057,Security review,Yes,Pass,2025-11-18
AI-057-C5,AI-057,Human oversight,Yes,Gap,2025-12-19
AI-057-C6,AI-057,Model monitoring,Yes,Pass,2026-01-19
AI-058-C1,AI-058,Use-case inventory,Yes,Pass,2025-08-21
AI-058-C2,AI-058,Data lineage review,Yes,Pass,2025-09-21
AI-058-C3,AI-058,Privacy assessment,Yes,Pass,2025-10-22
AI-058-C4,AI-058,Security review,Yes,Pass,2025-11-22
AI-058-C5,AI-058,Human oversight,Yes,Pass,2025-12-23
AI-058-C6,AI-058,Model monitoring,Yes,Pass,2026-01-23
AI-059-C1,AI-059,Use-case inventory,Yes,Pass,2025-08-25
AI-059-C2,AI-059,Data lineage review,Yes,Pass,2025-09-25
AI-059-C3,AI-059,Privacy assessment,Yes,Pass,2025-10-26
AI-059-C4,AI-059,Security review,Yes,Pass,2025-11-26
AI-059-C5,AI-059,Human oversight,Yes,Pass,2025-12-27
AI-059-C6,AI-059,Model monitoring,Yes,Pass,2026-01-27
AI-060-C1,AI-060,Use-case inventory,Yes,Pass,2025-08-29
AI-060-C2,AI-060,Data lineage review,Yes,Pass,2025-09-29
AI-060-C3,AI-060,Privacy assessment,Yes,Gap,2025-10-30
AI-060-C4,AI-060,Security review,Yes,Pass,2025-11-30
AI-060-C5,AI-060,Human oversight,Yes,Pass,2025-12-31
AI-060-C6,AI-060,Model monitoring,Yes,Pass,2026-01-31
AI-061-C1,AI-061,Use-case inventory,Yes,Pass,2025-09-02
AI-061-C2,AI-061,Data lineage review,Yes,Pass,2025-10-03
AI-061-C3,AI-061,Privacy assessment,Yes,Pass,2025-11-03
AI-061-C4,AI-061,Security review,Yes,Gap,2025-12-04
AI-061-C5,AI-061,Human oversight,Yes,Pass,2026-01-04
AI-061-C6,AI-061,Model monitoring,Yes,Pass,2026-02-04
AI-062-C1,AI-062,Use-case inventory,Yes,Pass,2025-09-06
AI-062-C2,AI-062,Data lineage review,Yes,Pass,2025-10-07
AI-062-C3,AI-062,Privacy assessment,Yes,Pass,2025-11-07
AI-062-C4,AI-062,Security review,Yes,Pass,2025-12-08
AI-062-C5,AI-062,Human oversight,Yes,Pass,2026-01-08
AI-062-C6,AI-062,Model monitoring,Yes,Pass,2026-02-08
AI-063-C1,AI-063,Use-case inventory,Yes,Pass,2025-09-10
AI-063-C2,AI-063,Data lineage review,Yes,Pass,2025-10-11
AI-063-C3,AI-063,Privacy assessment,Yes,Pass,2025-11-11
AI-063-C4,AI-063,Security review,Yes,Pass,2025-12-12
AI-063-C5,AI-063,Human oversight,Yes,Pass,2026-01-12
AI-063-C6,AI-063,Model monitoring,Yes,Pass,2026-02-12
AI-064-C1,AI-064,Use-case inventory,Yes,Pass,2025-09-14
AI-064-C2,AI-064,Data lineage review,Yes,Gap,2025-10-15
AI-064-C3,AI-064,Privacy assessment,Yes,Pass,2025-11-15
AI-064-C4,AI-064,Security review,Yes,Pass,2025-12-16
AI-064-C5,AI-064,Human oversight,Yes,Pass,2026-01-16
AI-064-C6,AI-064,Model monitoring,Yes,Pass,2026-02-16
AI-065-C1,AI-065,Use-case inventory,Yes,Pass,2025-09-18
AI-065-C2,AI-065,Data lineage review,Yes,Pass,2025-10-19
AI-065-C3,AI-065,Privacy assessment,Yes,Gap,2025-11-19
AI-065-C4,AI-065,Security review,Yes,Pass,2025-12-20
AI-065-C5,AI-065,Human oversight,Yes,Pass,2026-01-20
AI-065-C6,AI-065,Model monitoring,Yes,Gap,2026-02-20
AI-066-C1,AI-066,Use-case inventory,Yes,Pass,2025-09-22
AI-066-C2,AI-066,Data lineage review,Yes,Pass,2025-10-23
AI-066-C3,AI-066,Privacy assessment,Yes,Pass,2025-11-23
AI-066-C4,AI-066,Security review,Yes,Pass,2025-12-24
AI-066-C5,AI-066,Human oversight,Yes,Pass,2026-01-24
AI-066-C6,AI-066,Model monitoring,Yes,Pass,2026-02-24
AI-067-C1,AI-067,Use-case inventory,Yes,Pass,2025-09-26
AI-067-C2,AI-067,Data lineage review,Yes,Pass,2025-10-27
AI-067-C3,AI-067,Privacy assessment,Yes,Pass,2025-11-27
AI-067-C4,AI-067,Security review,Yes,Pass,2025-12-28
AI-067-C5,AI-067,Human oversight,Yes,Pass,2026-01-28
AI-067-C6,AI-067,Model monitoring,Yes,Pass,2026-02-28
