record_id,initiative_id,week_start,eligible_users,active_users,workflow_runs,business_unit
AD-0088,AI-077,2025-09-10,1772,817,3818,Finance
AD-0089,AI-084,2025-09-17,1791,846,3859,Operations
AD-0090,AI-091,2025-09-24,1810,875,3900,Collaboration
AD-0091,AI-098,2025-10-01,1829,904,3941,Security
AD-0092,AI-105,2025-10-08,1848,933,3982,Networking
AD-0093,AI-112,2025-10-15,1867,962,4023,Customer Experience
AD-0094,AI-119,2025-10-22,1886,991,4064,Finance
AD-0095,AI-126,2025-10-29,1905,1020,4105,Operations
AD-0096,AI-133,2025-11-05,1924,1049,4146,Collaboration
AD-0097,AI-140,2025-11-12,1943,1078,4187,Security
AD-0098,AI-147,2025-11-19,1962,1107,4228,Networking
AD-0099,AI-154,2025-11-26,1981,1136,4269,Customer Experience
AD-0100,AI-161,2025-12-03,2000,1165,4310,Finance
AD-0101,AI-168,2025-12-10,2019,1194,4351,Operations
AD-0102,AI-175,2025-12-17,2038,1223,4392,Collaboration
AD-0103,AI-002,2025-12-24,2057,1252,4433,Security
AD-0104,AI-009,2025-01-01,2076,1281,4474,Networking
AD-0105,AI-016,2025-01-08,2095,1310,4515,Customer Experience
AD-0106,AI-023,2025-01-15,2114,1339,4556,Finance
AD-0107,AI-030,2025-01-22,2133,1368,4597,Operations
AD-0108,AI-037,2025-01-29,2152,1397,4638,Collaboration
AD-0109,AI-044,2025-02-05,2171,1426,4679,Security
AD-0110,AI-051,2025-02-12,2190,1455,4720,Networking
AD-0111,AI-058,2025-02-19,2209,1484,4761,Customer Experience
AD-0112,AI-065,2025-02-26,2228,1513,4802,Finance
AD-0113,AI-072,2025-03-05,2247,1542,4843,Operations
AD-0114,AI-079,2025-03-12,2266,1571,4884,Collaboration
AD-0115,AI-086,2025-03-19,2285,1600,4925,Security
AD-0116,AI-093,2025-03-26,2304,1629,4966,Networking
AD-0117,AI-100,2025-04-02,2323,1658,5007,Customer Experience
AD-0118,AI-107,2025-04-09,2342,1687,5048,Finance
AD-0119,AI-114,2025-04-16,2361,1716,5089,Operations
AD-0120,AI-121,2025-04-23,2380,1745,5130,Collaboration
AD-0121,AI-128,2025-04-30,2399,1774,5171,Security
AD-0122,AI-135,2025-05-07,2418,1803,5212,Networking
AD-0123,AI-142,2025-05-14,2437,1832,5253,Customer Experience
AD-0124,AI-149,2025-05-21,2456,1861,5294,Finance
AD-0125,AI-156,2025-05-28,2475,90,5335,Operations
AD-0126,AI-163,2025-06-04,2494,119,5376,Collaboration
AD-0127,AI-170,2025-06-11,2513,148,5417,Security
AD-0128,AI-177,2025-06-18,2532,177,5458,Networking
AD-0129,AI-004,2025-06-25,2551,206,5499,Customer Experience
AD-0130,AI-011,2025-07-02,2570,235,5540,Finance
AD-0131,AI-018,2025-07-09,2589,264,5581,Operations
AD-0132,AI-025,2025-07-16,2608,293,5622,Collaboration
AD-0133,AI-032,2025-07-23,2627,322,5663,Security
AD-0134,AI-039,2025-07-30,2646,351,5704,Networking
AD-0135,AI-046,2025-08-06,2665,380,5745,Customer Experience
AD-0136,AI-053,2025-08-13,2684,409,5786,Finance
AD-0137,AI-060,2025-08-20,103,438,5827,Operations
AD-0138,AI-067,2025-08-27,122,467,5868,Collaboration
AD-0139,AI-074,2025-09-03,141,496,5909,Security
AD-0140,AI-081,2025-09-10,160,525,5950,Networking
AD-0141,AI-088,2025-09-17,179,554,5991,Customer Experience
AD-0142,AI-095,2025-09-24,198,583,6032,Finance
AD-0143,AI-102,2025-10-01,217,612,6073,Operations
AD-0144,AI-109,2025-10-08,236,641,6114,Collaboration
AD-0145,AI-116,2025-10-15,255,670,6155,Security
AD-0146,AI-123,2025-10-22,274,699,6196,Networking
AD-0147,AI-130,2025-10-29,293,728,6237,Customer Experience
AD-0148,AI-137,2025-11-05,312,757,6278,Finance
AD-0149,AI-144,2025-11-12,331,786,6319,Operations
AD-0150,AI-151,2025-11-19,350,815,6360,Collaboration
AD-0151,AI-158,2025-11-26,369,844,6401,Security
AD-0152,AI-165,2025-12-03,388,873,6442,Networking
AD-0153,AI-172,2025-12-10,407,902,6483,Customer Experience
AD-0154,AI-179,2025-12-17,426,931,6524,Finance
AD-0155,AI-006,2025-12-24,445,960,6565,Operations
AD-0156,AI-013,2025-01-01,464,989,6606,Collaboration
AD-0157,AI-020,2025-01-08,483,1018,6647,Security
AD-0158,AI-027,2025-01-15,502,1047,6688,Networking
AD-0159,AI-034,2025-01-22,521,1076,6729,Customer Experience
AD-0160,AI-041,2025-01-29,540,1105,6770,Finance
AD-0161,AI-048,2025-02-05,559,1134,6811,Operations
AD-0162,AI-055,2025-02-12,578,1163,6852,Collaboration
AD-0163,AI-062,2025-02-19,597,1192,6893,Security
AD-0164,AI-069,2025-02-26,616,1221,6934,Networking
AD-0165,AI-076,2025-03-05,635,1250,6975,Customer Experience
AD-0166,AI-083,2025-03-12,654,1279,7016,Finance
AD-0167,AI-090,2025-03-19,673,1308,7057,Operations
AD-0168,AI-097,2025-03-26,692,1337,7098,Collaboration
AD-0169,AI-104,2025-04-02,711,1366,7139,Security
AD-0170,AI-111,2025-04-09,730,1395,7180,Networking
AD-0171,AI-118,2025-04-16,749,1424,7221,Customer Experience
AD-0172,AI-125,2025-04-23,768,1453,7262,Finance
AD-0173,AI-132,2025-04-30,787,1482,7303,Operations
AD-0174,AI-139,2025-05-07,806,1511,7344,Collaboration
AD-0175,AI-146,2025-05-14,825,1540,7385,Security
AD-0176,AI-153,2025-05-21,844,1569,7426,Networking
AD-0177,AI-160,2025-05-28,863,1598,7467,Customer Experience
AD-0178,AI-167,2025-06-04,882,1627,7508,Finance
AD-0179,AI-174,2025-06-11,901,1656,7549,Operations
AD-0180,AI-001,2025-06-18,920,1685,7590,Collaboration
AD-0181,AI-008,2025-06-25,939,1714,7631,Security
AD-0182,AI-015,2025-07-02,958,1743,7672,Networking
AD-0183,AI-022,2025-07-09,977,1772,7713,Customer Experience
AD-0184,AI-029,2025-07-16,996,1801,7754,Finance
AD-0185,AI-036,2025-07-23,1015,1830,7795,Operations
AD-0186,AI-043,2025-07-30,1034,1859,7836,Collaboration
AD-0187,AI-050,2025-08-06,1053,88,7877,Security
AD-0188,AI-057,2025-08-13,1072,117,7918,Networking
AD-0189,AI-064,2025-08-20,1091,146,7959,Customer Experience
AD-0190,AI-071,2025-08-27,1110,175,8000,Finance
AD-0191,AI-078,2025-09-03,1129,204,8041,Operations
AD-0192,AI-085,2025-09-10,1148,233,8082,Collaboration
AD-0193,AI-092,2025-09-17,1167,262,8123,Security
AD-0194,AI-099,2025-09-24,1186,291,8164,Networking
AD-0195,AI-106,2025-10-01,1205,320,8205,Customer Experience
AD-0196,AI-113,2025-10-08,1224,349,8246,Finance
AD-0197,AI-120,2025-10-15,1243,378,8287,Operations
AD-0198,AI-127,2025-10-22,1262,407,8328,Collaboration
AD-0199,AI-134,2025-10-29,1281,436,8369,Security
AD-0200,AI-141,2025-11-05,1300,465,8410,Networking
AD-0201,AI-148,2025-11-12,1319,494,8451,Customer Experience
AD-0202,AI-155,2025-11-19,1338,523,8492,Finance
AD-0203,AI-162,2025-11-26,1357,552,8533,Operations
AD-0204,AI-169,2025-12-03,1376,581,8574,Collaboration
AD-0205,AI-176,2025-12-10,1395,610,8615,Security
AD-0206,AI-003,2025-12-17,1414,639,8656,Networking
AD-0207,AI-010,2025-12-24,1433,668,8697,Customer Experience
AD-0208,AI-017,2025-01-01,1452,697,8738,Finance
AD-0209,AI-024,2025-01-08,1471,726,8779,Operations
AD-0210,AI-031,2025-01-15,1490,755,8820,Collaboration
AD-0211,AI-038,2025-01-22,1509,784,8861,Security
AD-0212,AI-045,2025-01-29,1528,813,8902,Networking
AD-0213,AI-052,2025-02-05,1547,842,8943,Customer Experience
AD-0214,AI-059,2025-02-12,1566,871,8984,Finance
AD-0215,AI-066,2025-02-19,1585,900,9025,Operations
AD-0216,AI-073,2025-02-26,1604,929,9066,Collaboration
AD-0217,AI-080,2025-03-05,1623,958,9107,Security
AD-0218,AI-087,2025-03-12,1642,987,9148,Networking
AD-0219,AI-094,2025-03-19,1661,1016,9189,Customer Experience
AD-0220,AI-101,2025-03-26,1680,1045,9230,Finance
AD-0221,AI-108,2025-04-02,1699,1074,9271,Operations
AD-0222,AI-115,2025-04-09,1718,1103,9312,Collaboration
AD-0223,AI-122,2025-04-16,1737,1132,9353,Security
AD-0224,AI-129,2025-04-23,1756,1161,9394,Networking
AD-0225,AI-136,2025-04-30,1775,1190,9435,Customer Experience
AD-0226,AI-143,2025-05-07,1794,1219,9476,Finance
AD-0227,AI-150,2025-05-14,1813,1248,9517,Operations
AD-0228,AI-157,2025-05-21,1832,1277,9558,Collaboration
AD-0229,AI-164,2025-05-28,1851,1306,9599,Security
AD-0230,AI-171,2025-06-04,1870,1335,9640,Networking
AD-0231,AI-178,2025-06-11,1889,1364,9681,Customer Experience
AD-0232,AI-005,2025-06-18,1908,1393,9722,Finance
AD-0233,AI-012,2025-06-25,1927,1422,9763,Operations
AD-0234,AI-019,2025-07-02,1946,1451,9804,Collaboration
AD-0235,AI-026,2025-07-09,1965,1480,9845,Security
AD-0236,AI-033,2025-07-16,1984,1509,9886,Networking
AD-0237,AI-040,2025-07-23,2003,1538,9927,Customer Experience
AD-0238,AI-047,2025-07-30,2022,1567,9968,Finance
AD-0239,AI-054,2025-08-06,2041,1596,10009,Operations
AD-0240,AI-061,2025-08-13,2060,1625,10050,Collaboration
AD-0241,AI-068,2025-08-20,2079,1654,10091,Security
AD-0242,AI-075,2025-08-27,2098,1683,10132,Networking
AD-0243,AI-082,2025-09-03,2117,1712,10173,Customer Experience
AD-0244,AI-089,2025-09-10,2136,1741,214,Finance
AD-0245,AI-096,2025-09-17,2155,1770,255,Operations
AD-0246,AI-103,2025-09-24,2174,1799,296,Collaboration
AD-0247,AI-110,2025-10-01,2193,1828,337,Security
AD-0248,AI-117,2025-10-08,2212,1857,378,Networking
AD-0249,AI-124,2025-10-15,2231,86,419,Customer Experience
AD-0250,AI-131,2025-10-22,2250,115,460,Finance
AD-0251,AI-138,2025-10-29,2269,144,501,Operations
AD-0252,AI-145,2025-11-05,2288,173,542,Collaboration
AD-0253,AI-152,2025-11-12,2307,202,583,Security
AD-0254,AI-159,2025-11-19,2326,231,624,Networking
AD-0255,AI-166,2025-11-26,2345,260,665,Customer Experience
AD-0256,AI-173,2025-12-03,2364,289,706,Finance
AD-0257,AI-180,2025-12-10,2383,318,747,Operations
AD-0258,AI-007,2025-12-17,2402,347,788,Collaboration
AD-0259,AI-014,2025-12-24,2421,376,829,Security
AD-0260,AI-021,2025-01-01,2440,405,870,Networking
AD-0261,AI-028,2025-01-08,2459,434,911,Customer Experience
AD-0262,AI-035,2025-01-15,2478,463,952,Finance
AD-0263,AI-042,2025-01-22,2497,492,993,Operations
AD-0264,AI-049,2025-01-29,2516,521,1034,Collaboration
AD-0265,AI-056,2025-02-05,2535,550,1075,Security
AD-0266,AI-063,2025-02-12,2554,579,1116,Networking
AD-0267,AI-070,2025-02-19,2573,608,1157,Customer Experience
AD-0268,AI-077,2025-02-26,2592,637,1198,Finance
AD-0269,AI-084,2025-03-05,2611,666,1239,Operations
AD-0270,AI-091,2025-03-12,2630,695,1280,Collaboration
AD-0271,AI-098,2025-03-19,2649,724,1321,Security
AD-0272,AI-105,2025-03-26,2668,753,1362,Networking
AD-0273,AI-112,2025-04-02,2687,782,1403,Customer Experience
AD-0274,AI-119,2025-04-09,106,811,1444,Finance
AD-0275,AI-126,2025-04-16,125,840,1485,Operations
AD-0276,AI-133,2025-04-23,144,869,1526,Collaboration
AD-0277,AI-140,2025-04-30,163,898,1567,Security
AD-0278,AI-147,2025-05-07,182,927,1608,Networking
AD-0279,AI-154,2025-05-14,201,956,1649,Customer Experience
AD-0280,AI-161,2025-05-21,220,985,1690,Finance
AD-0281,AI-168,2025-05-28,239,1014,1731,Operations
AD-0282,AI-175,2025-06-04,258,1043,1772,Collaboration
AD-0283,AI-002,2025-06-11,277,1072,1813,Security
AD-0284,AI-009,2025-06-18,296,1101,1854,Networking
AD-0285,AI-016,2025-06-25,315,1130,1895,Customer Experience
AD-0286,AI-023,2025-07-02,334,1159,1936,Finance
AD-0287,AI-030,2025-07-09,353,1188,1977,Operations
AD-0288,AI-037,2025-07-16,372,1217,2018,Collaboration
AD-0289,AI-044,2025-07-23,391,1246,2059,Security
AD-0290,AI-051,2025-07-30,410,1275,2100,Networking
AD-0291,AI-058,2025-08-06,429,1304,2141,Customer Experience
AD-0292,AI-065,2025-08-13,448,1333,2182,Finance
AD-0293,AI-072,2025-08-20,467,1362,2223,Operations
AD-0294,AI-079,2025-08-27,486,1391,2264,Collaboration
AD-0295,AI-086,2025-09-03,505,1420,2305,Security
AD-0296,AI-093,2025-09-10,524,1449,2346,Networking
AD-0297,AI-100,2025-09-17,543,1478,2387,Customer Experience
AD-0298,AI-107,2025-09-24,562,1507,2428,Finance
AD-0299,AI-114,2025-10-01,581,1536,2469,Operations
AD-0300,AI-121,2025-10-08,600,1565,2510,Collaboration
AD-0301,AI-128,2025-10-15,619,1594,2551,Security
AD-0302,AI-135,2025-10-22,638,1623,2592,Networking
AD-0303,AI-142,2025-10-29,657,1652,2633,Customer Experience
AD-0304,AI-149,2025-11-05,676,1681,2674,Finance
AD-0305,AI-156,2025-11-12,695,1710,2715,Operations
AD-0306,AI-163,2025-11-19,714,1739,2756,Collaboration
AD-0307,AI-170,2025-11-26,733,1768,2797,Security
AD-0308,AI-177,2025-12-03,752,1797,2838,Networking
AD-0309,AI-004,2025-12-10,771,1826,2879,Customer Experience
AD-0310,AI-011,2025-12-17,790,1855,2920,Finance
AD-0311,AI-018,2025-12-24,809,84,2961,Operations
AD-0312,AI-025,2025-01-01,828,113,3002,Collaboration
AD-0313,AI-032,2025-01-08,847,142,3043,Security
AD-0314,AI-039,2025-01-15,866,171,3084,Networking
AD-0315,AI-046,2025-01-22,885,200,3125,Customer Experience
AD-0316,AI-053,2025-01-29,904,229,3166,Finance
AD-0317,AI-060,2025-02-05,923,258,3207,Operations
AD-0318,AI-067,2025-02-12,942,287,3248,Collaboration
AD-0319,AI-074,2025-02-19,961,316,3289,Security
AD-0320,AI-081,2025-02-26,980,345,3330,Networking
AD-0321,AI-088,2025-03-05,999,374,3371,Customer Experience
AD-0322,AI-095,2025-03-12,1018,403,3412,Finance
AD-0323,AI-102,2025-03-19,1037,432,3453,Operations
AD-0324,AI-109,2025-03-26,1056,461,3494,Collaboration
AD-0325,AI-116,2025-04-02,1075,490,3535,Security
AD-0326,AI-123,2025-04-09,1094,519,3576,Networking
AD-0327,AI-130,2025-04-16,1113,548,3617,Customer Experience
AD-0328,AI-137,2025-04-23,1132,577,3658,Finance
AD-0329,AI-144,2025-04-30,1151,606,3699,Operations
AD-0330,AI-151,2025-05-07,1170,635,3740,Collaboration
AD-0331,AI-158,2025-05-14,1189,664,3781,Security
AD-0332,AI-165,2025-05-21,1208,693,3822,Networking
AD-0333,AI-172,2025-05-28,1227,722,3863,Customer Experience
AD-0334,AI-179,2025-06-04,1246,751,3904,Finance
AD-0335,AI-006,2025-06-11,1265,780,3945,Operations
AD-0336,AI-013,2025-06-18,1284,809,3986,Collaboration
AD-0337,AI-020,2025-06-25,1303,838,4027,Security
AD-0338,AI-027,2025-07-02,1322,867,4068,Networking
AD-0339,AI-034,2025-07-09,1341,896,4109,Customer Experience
AD-0340,AI-041,2025-07-16,1360,925,4150,Finance
AD-0341,AI-048,2025-07-23,1379,954,4191,Operations
AD-0342,AI-055,2025-07-30,1398,983,4232,Collaboration
AD-0343,AI-062,2025-08-06,1417,1012,4273,Security
AD-0344,AI-069,2025-08-13,1436,1041,4314,Networking
AD-0345,AI-076,2025-08-20,1455,1070,4355,Customer Experience
AD-0346,AI-083,2025-08-27,1474,1099,4396,Finance
AD-0347,AI-090,2025-09-03,1493,1128,4437,Operations
AD-0348,AI-097,2025-09-10,1512,1157,4478,Collaboration
AD-0349,AI-104,2025-09-17,1531,1186,4519,Security
AD-0350,AI-111,2025-09-24,1550,1215,4560,Networking
AD-0351,AI-118,2025-10-01,1569,1244,4601,Customer Experience
AD-0352,AI-125,2025-10-08,1588,1273,4642,Finance
AD-0353,AI-132,2025-10-15,1607,1302,4683,Operations
AD-0354,AI-139,2025-10-22,1626,1331,4724,Collaboration
AD-0355,AI-146,2025-10-29,1645,1360,4765,Security
AD-0356,AI-153,2025-11-05,1664,1389,4806,Networking
AD-0357,AI-160,2025-11-12,1683,1418,4847,Customer Experience
AD-0358,AI-167,2025-11-19,1702,1447,4888,Finance
AD-0359,AI-174,2025-11-26,1721,1476,4929,Operations
AD-0360,AI-001,2025-12-03,1740,1505,4970,Collaboration
AD-0361,AI-008,2025-12-10,1759,1534,5011,Security
AD-0362,AI-015,2025-12-17,1778,1563,5052,Networking
AD-0363,AI-022,2025-12-24,1797,1592,5093,Customer Experience
AD-0364,AI-029,2025-01-01,1816,1621,5134,Finance
AD-0365,AI-036,2025-01-08,1835,1650,5175,Operations
AD-0366,AI-043,2025-01-15,1854,1679,5216,Collaboration
AD-0367,AI-050,2025-01-22,1873,1708,5257,Security
AD-0368,AI-057,2025-01-29,1892,1737,5298,Networking
AD-0369,AI-064,2025-02-05,1911,1766,5339,Customer Experience
AD-0370,AI-071,2025-02-12,1930,1795,5380,Finance
AD-0371,AI-078,2025-02-19,1949,1824,5421,Operations
AD-0372,AI-085,2025-02-26,1968,1853,5462,Collaboration
AD-0373,AI-092,2025-03-05,1987,82,5503,Security
AD-0374,AI-099,2025-03-12,2006,111,5544,Networking
AD-0375,AI-106,2025-03-19,2025,140,5585,Customer Experience
AD-0376,AI-113,2025-03-26,2044,169,5626,Finance
AD-0377,AI-120,2025-04-02,2063,198,5667,Operations
AD-0378,AI-127,2025-04-09,2082,227,5708,Collaboration
AD-0379,AI-134,2025-04-16,2101,256,5749,Security
AD-0380,AI-141,2025-04-23,2120,285,5790,Networking
AD-0381,AI-148,2025-04-30,2139,314,5831,Customer Experience
AD-0382,AI-155,2025-05-07,2158,343,5872,Finance
AD-0383,AI-162,2025-05-14,2177,372,5913,Operations
AD-0384,AI-169,2025-05-21,2196,401,5954,Collaboration
AD-0385,AI-176,2025-05-28,2215,430,5995,Security
AD-0386,AI-003,2025-06-04,2234,459,6036,Networking
AD-0387,AI-010,2025-06-11,2253,488,6077,Customer Experience
AD-0388,AI-017,2025-06-18,2272,517,6118,Finance
AD-0389,AI-024,2025-06-25,2291,546,6159,Operations
AD-0390,AI-031,2025-07-02,2310,575,6200,Collaboration
AD-0391,AI-038,2025-07-09,2329,604,6241,Security
AD-0392,AI-045,2025-07-16,2348,633,6282,Networking
AD-0393,AI-052,2025-07-23,2367,662,6323,Customer Experience
AD-0394,AI-059,2025-07-30,2386,691,6364,Finance
AD-0395,AI-066,2025-08-06,2405,720,6405,Operations
AD-0396,AI-073,2025-08-13,2424,749,6446,Collaboration
AD-0397,AI-080,2025-08-20,2443,778,6487,Security
AD-0398,AI-087,2025-08-27,2462,807,6528,Networking
AD-0399,AI-094,2025-09-03,2481,836,6569,Customer Experience
AD-0400,AI-101,2025-09-10,2500,865,6610,Finance
AD-0401,AI-108,2025-09-17,2519,894,6651,Operations
AD-0402,AI-115,2025-09-24,2538,923,6692,Collaboration
AD-0403,AI-122,2025-10-01,2557,952,6733,Security
AD-0404,AI-129,2025-10-08,2576,981,6774,Networking
AD-0405,AI-136,2025-10-15,2595,1010,6815,Customer Experience
AD-0406,AI-143,2025-10-22,2614,1039,6856,Finance
AD-0407,AI-150,2025-10-29,2633,1068,6897,Operations
AD-0408,AI-157,2025-11-05,2652,1097,6938,Collaboration
AD-0409,AI-164,2025-11-12,2671,1126,6979,Security
AD-0410,AI-171,2025-11-19,2690,1155,7020,Networking
AD-0411,AI-178,2025-11-26,109,1184,7061,Customer Experience
AD-0412,AI-005,2025-12-03,128,1213,7102,Finance
AD-0413,AI-012,2025-12-10,147,1242,7143,Operations
AD-0414,AI-019,2025-12-17,166,1271,7184,Collaboration
AD-0415,AI-026,2025-12-24,185,1300,7225,Security
AD-0416,AI-033,2025-01-01,204,1329,7266,Networking
AD-0417,AI-040,2025-01-08,223,1358,7307,Customer Experience
AD-0418,AI-047,2025-01-15,242,1387,7348,Finance
AD-0419,AI-054,2025-01-22,261,1416,7389,Operations
AD-0420,AI-061,2025-01-29,280,1445,7430,Collaboration
AD-0421,AI-068,2025-02-05,299,1474,7471,Security
AD-0422,AI-075,2025-02-12,318,1503,7512,Networking
AD-0423,AI-082,2025-02-19,337,1532,7553,Customer Experience
AD-0424,AI-089,2025-02-26,356,1561,7594,Finance
AD-0425,AI-096,2025-03-05,375,1590,7635,Operations
AD-0426,AI-103,2025-03-12,394,1619,7676,Collaboration
AD-0427,AI-110,2025-03-19,413,1648,7717,Security
AD-0428,AI-117,2025-03-26,432,1677,7758,Networking
AD-0429,AI-124,2025-04-02,451,1706,7799,Customer Experience
AD-0430,AI-131,2025-04-09,470,1735,7840,Finance
AD-0431,AI-138,2025-04-16,489,1764,7881,Operations
AD-0432,AI-145,2025-04-23,508,1793,7922,Collaboration
AD-0433,AI-152,2025-04-30,527,1822,7963,Security
AD-0434,AI-159,2025-05-07,546,1851,8004,Networking
AD-0435,AI-166,2025-05-14,565,80,8045,Customer Experience
AD-0436,AI-173,2025-05-21,584,109,8086,Finance
AD-0437,AI-180,2025-05-28,603,138,8127,Operations
AD-0438,AI-007,2025-06-04,622,167,8168,Collaboration
AD-0439,AI-014,2025-06-11,641,196,8209,Security
AD-0440,AI-021,2025-06-18,660,225,8250,Networking
AD-0441,AI-028,2025-06-25,679,254,8291,Customer Experience
AD-0442,AI-035,2025-07-02,698,283,8332,Finance
AD-0443,AI-042,2025-07-09,717,312,8373,Operations
AD-0444,AI-049,2025-07-16,736,341,8414,Collaboration
AD-0445,AI-056,2025-07-23,755,370,8455,Security
AD-0446,AI-063,2025-07-30,774,399,8496,Networking
AD-0447,AI-070,2025-08-06,793,428,8537,Customer Experience
AD-0448,AI-077,2025-08-13,812,457,8578,Finance
AD-0449,AI-084,2025-08-20,831,486,8619,Operations
AD-0450,AI-091,2025-08-27,850,515,8660,Collaboration
AD-0451,AI-098,2025-09-03,869,544,8701,Security
AD-0452,AI-105,2025-09-10,888,573,8742,Networking
AD-0453,AI-112,2025-09-17,907,602,8783,Customer Experience
AD-0454,AI-119,2025-09-24,926,631,8824,Finance
