value_record_id,initiative_id,quarter,planned_value,realized_value,value_type,confidence
VR-0072,AI-073,2025-Q3,97864,60675.68,Cost avoidance,Low
VR-0073,AI-084,2025-Q4,107001,84530.79,Revenue enablement,Medium
VR-0074,AI-095,2026-Q1,116138,111492.48,Cycle-time reduction,High
VR-0075,AI-106,2025-Q1,125275,66395.75,Cost avoidance,Low
VR-0076,AI-117,2025-Q2,134412,94088.4,Revenue enablement,Medium
VR-0077,AI-128,2025-Q3,143549,124887.63,Cycle-time reduction,High
VR-0078,AI-139,2025-Q4,152686,67181.84,Cost avoidance,Low
VR-0079,AI-150,2026-Q1,161823,98712.03,Revenue enablement,Medium
VR-0080,AI-161,2025-Q1,170960,133348.8,Cycle-time reduction,High
VR-0081,AI-172,2025-Q2,180097,171092.15,Cost avoidance,Low
VR-0082,AI-003,2025-Q3,189234,98401.68,Revenue enablement,Medium
VR-0083,AI-014,2025-Q4,198371,136875.99,Cycle-time reduction,High
VR-0084,AI-025,2026-Q1,207508,178456.88,Cost avoidance,Low
VR-0085,AI-036,2025-Q1,216645,93157.35,Revenue enablement,Medium
VR-0086,AI-047,2025-Q2,225782,135469.2,Cycle-time reduction,High
VR-0087,AI-058,2025-Q3,234919,180887.63,Cost avoidance,Low
VR-0088,AI-069,2025-Q4,244056,229412.64,Revenue enablement,Medium
VR-0089,AI-080,2026-Q1,253193,129128.43,Cycle-time reduction,High
VR-0090,AI-091,2025-Q1,262330,178384.4,Cost avoidance,Low
VR-0091,AI-102,2025-Q2,271467,230746.95,Revenue enablement,Medium
VR-0092,AI-113,2025-Q3,280604,117853.68,Cycle-time reduction,High
VR-0093,AI-124,2025-Q4,289741,170947.19,Cost avoidance,Low
VR-0094,AI-135,2026-Q1,298878,227147.28,Revenue enablement,Medium
VR-0095,AI-146,2025-Q1,308015,286453.95,Cycle-time reduction,High
VR-0096,AI-157,2025-Q2,317152,158576.0,Cost avoidance,Low
VR-0097,AI-168,2025-Q3,326289,218613.63,Revenue enablement,Medium
VR-0098,AI-179,2025-Q4,335426,281757.84,Cycle-time reduction,High
VR-0099,AI-010,2026-Q1,344563,141270.83,Cost avoidance,Low
VR-0100,AI-021,2025-Q1,353700,205146.0,Revenue enablement,Medium
VR-0101,AI-032,2025-Q2,362837,272127.75,Cycle-time reduction,High
VR-0102,AI-043,2025-Q3,371974,342216.08,Cost avoidance,Low
VR-0103,AI-054,2025-Q4,381111,186744.39,Revenue enablement,Medium
VR-0104,AI-065,2026-Q1,390248,257563.68,Cycle-time reduction,High
VR-0105,AI-076,2025-Q1,399385,331489.55,Cost avoidance,Low
VR-0106,AI-087,2025-Q2,408522,163408.8,Revenue enablement,Medium
VR-0107,AI-098,2025-Q3,417659,238065.63,Cycle-time reduction,High
VR-0108,AI-109,2025-Q4,426796,315829.04,Cost avoidance,Low
VR-0109,AI-120,2026-Q1,435933,396699.03,Revenue enablement,Medium
VR-0110,AI-131,2025-Q1,445070,213633.6,Cycle-time reduction,High
VR-0111,AI-142,2025-Q2,454207,295234.55,Cost avoidance,Low
VR-0112,AI-153,2025-Q3,463344,379942.08,Revenue enablement,Medium
VR-0113,AI-164,2025-Q4,472481,184267.59,Cycle-time reduction,High
VR-0114,AI-175,2026-Q1,481618,269706.08,Cost avoidance,Low
VR-0115,AI-006,2025-Q1,490755,358251.15,Revenue enablement,Medium
VR-0116,AI-017,2025-Q2,499892,449902.8,Cycle-time reduction,High
VR-0117,AI-028,2025-Q3,509029,239243.63,Cost avoidance,Low
VR-0118,AI-039,2025-Q4,518166,331626.24,Revenue enablement,Medium
VR-0119,AI-050,2026-Q1,527303,427115.43,Cycle-time reduction,High
VR-0120,AI-061,2025-Q1,536440,203847.2,Cost avoidance,Low
VR-0121,AI-072,2025-Q2,545577,300067.35,Revenue enablement,Medium
VR-0122,AI-083,2025-Q3,554714,399394.08,Cycle-time reduction,High
VR-0123,AI-094,2025-Q4,563851,501827.39,Cost avoidance,Low
VR-0124,AI-105,2026-Q1,572988,263574.48,Revenue enablement,Medium
VR-0125,AI-116,2025-Q1,582125,366738.75,Cycle-time reduction,High
VR-0126,AI-127,2025-Q2,591262,473009.6,Cost avoidance,Low
VR-0127,AI-138,2025-Q3,600399,582387.03,Revenue enablement,Medium
VR-0128,AI-149,2025-Q4,609536,329149.44,Cycle-time reduction,High
VR-0129,AI-160,2026-Q1,618673,439257.83,Cost avoidance,Low
VR-0130,AI-171,2025-Q1,627810,552472.8,Revenue enablement,Medium
VR-0131,AI-002,2025-Q2,636947,286626.15,Cycle-time reduction,High
VR-0132,AI-013,2025-Q3,46084,28572.08,Cost avoidance,Low
VR-0133,AI-024,2025-Q4,55221,43624.59,Revenue enablement,Medium
VR-0134,AI-035,2026-Q1,64358,61783.68,Cycle-time reduction,High
VR-0135,AI-046,2025-Q1,73495,38952.35,Cost avoidance,Low
VR-0136,AI-057,2025-Q2,82632,57842.4,Revenue enablement,Medium
VR-0137,AI-068,2025-Q3,91769,79839.03,Cycle-time reduction,High
VR-0138,AI-079,2025-Q4,100906,44398.64,Cost avoidance,Low
VR-0139,AI-090,2026-Q1,110043,67126.23,Revenue enablement,Medium
VR-0140,AI-101,2025-Q1,119180,92960.4,Cycle-time reduction,High
VR-0141,AI-112,2025-Q2,128317,121901.15,Cost avoidance,Low
VR-0142,AI-123,2025-Q3,137454,71476.08,Revenue enablement,Medium
VR-0143,AI-134,2025-Q4,146591,101147.79,Cycle-time reduction,High
VR-0144,AI-145,2026-Q1,155728,133926.08,Cost avoidance,Low
VR-0145,AI-156,2025-Q1,164865,70891.95,Revenue enablement,Medium
VR-0146,AI-167,2025-Q2,174002,104401.2,Cycle-time reduction,High
VR-0147,AI-178,2025-Q3,183139,141017.03,Cost avoidance,Low
VR-0148,AI-009,2025-Q4,192276,180739.44,Revenue enablement,Medium
VR-0149,AI-020,2026-Q1,201413,102720.63,Cycle-time reduction,High
VR-0150,AI-031,2025-Q1,210550,143174.0,Cost avoidance,Low
VR-0151,AI-042,2025-Q2,219687,186733.95,Revenue enablement,Medium
VR-0152,AI-053,2025-Q3,228824,96106.08,Cycle-time reduction,High
VR-0153,AI-064,2025-Q4,237961,140396.99,Cost avoidance,Low
VR-0154,AI-075,2026-Q1,247098,187794.48,Revenue enablement,Medium
VR-0155,AI-086,2025-Q1,256235,238298.55,Cycle-time reduction,High
VR-0156,AI-097,2025-Q2,265372,132686.0,Cost avoidance,Low
VR-0157,AI-108,2025-Q3,274509,183921.03,Revenue enablement,Medium
VR-0158,AI-119,2025-Q4,283646,238262.64,Cycle-time reduction,High
VR-0159,AI-130,2026-Q1,292783,120041.03,Cost avoidance,Low
VR-0160,AI-141,2025-Q1,301920,175113.6,Revenue enablement,Medium
VR-0161,AI-152,2025-Q2,311057,233292.75,Cycle-time reduction,High
VR-0162,AI-163,2025-Q3,320194,294578.48,Cost avoidance,Low
VR-0163,AI-174,2025-Q4,329331,161372.19,Revenue enablement,Medium
VR-0164,AI-005,2026-Q1,338468,223388.88,Cycle-time reduction,High
VR-0165,AI-016,2025-Q1,347605,288512.15,Cost avoidance,Low
VR-0166,AI-027,2025-Q2,356742,142696.8,Revenue enablement,Medium
VR-0167,AI-038,2025-Q3,365879,208551.03,Cycle-time reduction,High
VR-0168,AI-049,2025-Q4,375016,277511.84,Cost avoidance,Low
VR-0169,AI-060,2026-Q1,384153,349579.23,Revenue enablement,Medium
VR-0170,AI-071,2025-Q1,393290,188779.2,Cycle-time reduction,High
VR-0171,AI-082,2025-Q2,402427,261577.55,Cost avoidance,Low
VR-0172,AI-093,2025-Q3,411564,337482.48,Revenue enablement,Medium
VR-0173,AI-104,2025-Q4,420701,164073.39,Cycle-time reduction,High
VR-0174,AI-115,2026-Q1,429838,240709.28,Cost avoidance,Low
VR-0175,AI-126,2025-Q1,438975,320451.75,Revenue enablement,Medium
VR-0176,AI-137,2025-Q2,448112,403300.8,Cycle-time reduction,High
VR-0177,AI-148,2025-Q3,457249,214907.03,Cost avoidance,Low
VR-0178,AI-159,2025-Q4,466386,298487.04,Revenue enablement,Medium
VR-0179,AI-170,2026-Q1,475523,385173.63,Cycle-time reduction,High
VR-0180,AI-001,2025-Q1,484660,184170.8,Cost avoidance,Low
VR-0181,AI-012,2025-Q2,493797,271588.35,Revenue enablement,Medium
VR-0182,AI-023,2025-Q3,502934,362112.48,Cycle-time reduction,High
VR-0183,AI-034,2025-Q4,512071,455743.19,Cost avoidance,Low
VR-0184,AI-045,2026-Q1,521208,239755.68,Revenue enablement,Medium
VR-0185,AI-056,2025-Q1,530345,334117.35,Cycle-time reduction,High
VR-0186,AI-067,2025-Q2,539482,431585.6,Cost avoidance,Low
VR-0187,AI-078,2025-Q3,548619,532160.43,Revenue enablement,Medium
VR-0188,AI-089,2025-Q4,557756,301188.24,Cycle-time reduction,High
VR-0189,AI-100,2026-Q1,566893,402494.03,Cost avoidance,Low
VR-0190,AI-111,2025-Q1,576030,506906.4,Revenue enablement,Medium
VR-0191,AI-122,2025-Q2,585167,263325.15,Cycle-time reduction,High
VR-0192,AI-133,2025-Q3,594304,368468.48,Cost avoidance,Low
VR-0193,AI-144,2025-Q4,603441,476718.39,Revenue enablement,Medium
VR-0194,AI-155,2026-Q1,612578,588074.88,Cycle-time reduction,High
VR-0195,AI-166,2025-Q1,621715,329508.95,Cost avoidance,Low
VR-0196,AI-177,2025-Q2,630852,441596.4,Revenue enablement,Medium
VR-0197,AI-008,2025-Q3,639989,556790.43,Cycle-time reduction,High
VR-0198,AI-019,2025-Q4,49126,21615.44,Cost avoidance,Low
VR-0199,AI-030,2026-Q1,58263,35540.43,Revenue enablement,Medium
VR-0200,AI-041,2025-Q1,67400,52572.0,Cycle-time reduction,High
VR-0201,AI-052,2025-Q2,76537,72710.15,Cost avoidance,Low
VR-0202,AI-063,2025-Q3,85674,44550.48,Revenue enablement,Medium
VR-0203,AI-074,2025-Q4,94811,65419.59,Cycle-time reduction,High
VR-0204,AI-085,2026-Q1,103948,89395.28,Cost avoidance,Low
VR-0205,AI-096,2025-Q1,113085,48626.55,Revenue enablement,Medium
VR-0206,AI-107,2025-Q2,122222,73333.2,Cycle-time reduction,High
VR-0207,AI-118,2025-Q3,131359,101146.43,Cost avoidance,Low
VR-0208,AI-129,2025-Q4,140496,132066.24,Revenue enablement,Medium
VR-0209,AI-140,2026-Q1,149633,76312.83,Cycle-time reduction,High
VR-0210,AI-151,2025-Q1,158770,107963.6,Cost avoidance,Low
VR-0211,AI-162,2025-Q2,167907,142720.95,Revenue enablement,Medium
VR-0212,AI-173,2025-Q3,177044,74358.48,Cycle-time reduction,High
VR-0213,AI-004,2025-Q4,186181,109846.79,Cost avoidance,Low
VR-0214,AI-015,2026-Q1,195318,148441.68,Revenue enablement,Medium
VR-0215,AI-026,2025-Q1,204455,190143.15,Cycle-time reduction,High
VR-0216,AI-037,2025-Q2,213592,106796.0,Cost avoidance,Low
VR-0217,AI-048,2025-Q3,222729,149228.43,Revenue enablement,Medium
VR-0218,AI-059,2025-Q4,231866,194767.44,Cycle-time reduction,High
VR-0219,AI-070,2026-Q1,241003,98811.23,Cost avoidance,Low
VR-0220,AI-081,2025-Q1,250140,145081.2,Revenue enablement,Medium
VR-0221,AI-092,2025-Q2,259277,194457.75,Cycle-time reduction,High
VR-0222,AI-103,2025-Q3,268414,246940.88,Cost avoidance,Low
VR-0223,AI-114,2025-Q4,277551,135999.99,Revenue enablement,Medium
VR-0224,AI-125,2026-Q1,286688,189214.08,Cycle-time reduction,High
VR-0225,AI-136,2025-Q1,295825,245534.75,Cost avoidance,Low
VR-0226,AI-147,2025-Q2,304962,121984.8,Revenue enablement,Medium
VR-0227,AI-158,2025-Q3,314099,179036.43,Cycle-time reduction,High
VR-0228,AI-169,2025-Q4,323236,239194.64,Cost avoidance,Low
VR-0229,AI-180,2026-Q1,332373,302459.43,Revenue enablement,Medium
VR-0230,AI-011,2025-Q1,341510,163924.8,Cycle-time reduction,High
VR-0231,AI-022,2025-Q2,350647,227920.55,Cost avoidance,Low
VR-0232,AI-033,2025-Q3,359784,295022.88,Revenue enablement,Medium
VR-0233,AI-044,2025-Q4,368921,143879.19,Cycle-time reduction,High
VR-0234,AI-055,2026-Q1,378058,211712.48,Cost avoidance,Low
VR-0235,AI-066,2025-Q1,387195,282652.35,Revenue enablement,Medium
VR-0236,AI-077,2025-Q2,396332,356698.8,Cycle-time reduction,High
VR-0237,AI-088,2025-Q3,405469,190570.43,Cost avoidance,Low
VR-0238,AI-099,2025-Q4,414606,265347.84,Revenue enablement,Medium
VR-0239,AI-110,2026-Q1,423743,343231.83,Cycle-time reduction,High
VR-0240,AI-121,2025-Q1,432880,164494.4,Cost avoidance,Low
VR-0241,AI-132,2025-Q2,442017,243109.35,Revenue enablement,Medium
VR-0242,AI-143,2025-Q3,451154,324830.88,Cycle-time reduction,High
VR-0243,AI-154,2025-Q4,460291,409658.99,Cost avoidance,Low
VR-0244,AI-165,2026-Q1,469428,215936.88,Revenue enablement,Medium
VR-0245,AI-176,2025-Q1,478565,301495.95,Cycle-time reduction,High
VR-0246,AI-007,2025-Q2,487702,390161.6,Cost avoidance,Low
VR-0247,AI-018,2025-Q3,496839,481933.83,Revenue enablement,Medium
VR-0248,AI-029,2025-Q4,505976,273227.04,Cycle-time reduction,High
VR-0249,AI-040,2026-Q1,515113,365730.23,Cost avoidance,Low
VR-0250,AI-051,2025-Q1,524250,461340.0,Revenue enablement,Medium
VR-0251,AI-062,2025-Q2,533387,240024.15,Cycle-time reduction,High
VR-0252,AI-073,2025-Q3,542524,336364.88,Cost avoidance,Low
VR-0253,AI-084,2025-Q4,551661,435812.19,Revenue enablement,Medium
VR-0254,AI-095,2026-Q1,560798,538366.08,Cycle-time reduction,High
VR-0255,AI-106,2025-Q1,569935,302065.55,Cost avoidance,Low
VR-0256,AI-117,2025-Q2,579072,405350.4,Revenue enablement,Medium
VR-0257,AI-128,2025-Q3,588209,511741.83,Cycle-time reduction,High
VR-0258,AI-139,2025-Q4,597346,262832.24,Cost avoidance,Low
VR-0259,AI-150,2026-Q1,606483,369954.63,Revenue enablement,Medium
VR-0260,AI-161,2025-Q1,615620,480183.6,Cycle-time reduction,High
VR-0261,AI-172,2025-Q2,624757,593519.15,Cost avoidance,Low
VR-0262,AI-003,2025-Q3,633894,329624.88,Revenue enablement,Medium
VR-0263,AI-014,2025-Q4,43031,29691.39,Cycle-time reduction,High
VR-0264,AI-025,2026-Q1,52168,44864.48,Cost avoidance,Low
VR-0265,AI-036,2025-Q1,61305,26361.15,Revenue enablement,Medium
VR-0266,AI-047,2025-Q2,70442,42265.2,Cycle-time reduction,High
VR-0267,AI-058,2025-Q3,79579,61275.83,Cost avoidance,Low
VR-0268,AI-069,2025-Q4,88716,83393.04,Revenue enablement,Medium
VR-0269,AI-080,2026-Q1,97853,49905.03,Cycle-time reduction,High
VR-0270,AI-091,2025-Q1,106990,72753.2,Cost avoidance,Low
VR-0271,AI-102,2025-Q2,116127,98707.95,Revenue enablement,Medium
VR-0272,AI-113,2025-Q3,125264,52610.88,Cycle-time reduction,High
VR-0273,AI-124,2025-Q4,134401,79296.59,Cost avoidance,Low
VR-0274,AI-135,2026-Q1,143538,109088.88,Revenue enablement,Medium
VR-0275,AI-146,2025-Q1,152675,141987.75,Cycle-time reduction,High
VR-0276,AI-157,2025-Q2,161812,80906.0,Cost avoidance,Low
VR-0277,AI-168,2025-Q3,170949,114535.83,Revenue enablement,Medium
VR-0278,AI-179,2025-Q4,180086,151272.24,Cycle-time reduction,High
VR-0279,AI-010,2026-Q1,189223,77581.43,Cost avoidance,Low
VR-0280,AI-021,2025-Q1,198360,115048.8,Revenue enablement,Medium
VR-0281,AI-032,2025-Q2,207497,155622.75,Cycle-time reduction,High
VR-0282,AI-043,2025-Q3,216634,199303.28,Cost avoidance,Low
VR-0283,AI-054,2025-Q4,225771,110627.79,Revenue enablement,Medium
VR-0284,AI-065,2026-Q1,234908,155039.28,Cycle-time reduction,High
VR-0285,AI-076,2025-Q1,244045,202557.35,Cost avoidance,Low
VR-0286,AI-087,2025-Q2,253182,101272.8,Revenue enablement,Medium
VR-0287,AI-098,2025-Q3,262319,149521.83,Cycle-time reduction,High
VR-0288,AI-109,2025-Q4,271456,200877.44,Cost avoidance,Low
VR-0289,AI-120,2026-Q1,280593,255339.63,Revenue enablement,Medium
VR-0290,AI-131,2025-Q1,289730,139070.4,Cycle-time reduction,High
VR-0291,AI-142,2025-Q2,298867,194263.55,Cost avoidance,Low
VR-0292,AI-153,2025-Q3,308004,252563.28,Revenue enablement,Medium
VR-0293,AI-164,2025-Q4,317141,123684.99,Cycle-time reduction,High
VR-0294,AI-175,2026-Q1,326278,182715.68,Cost avoidance,Low
VR-0295,AI-006,2025-Q1,335415,244852.95,Revenue enablement,Medium
VR-0296,AI-017,2025-Q2,344552,310096.8,Cycle-time reduction,High
VR-0297,AI-028,2025-Q3,353689,166233.83,Cost avoidance,Low
VR-0298,AI-039,2025-Q4,362826,232208.64,Revenue enablement,Medium
VR-0299,AI-050,2026-Q1,371963,301290.03,Cycle-time reduction,High
VR-0300,AI-061,2025-Q1,381100,144818.0,Cost avoidance,Low
