initiative_id,business_unit,use_case,lifecycle,owner,launch_date,estimated_annual_value,regulated_data,control_coverage,planned_value,realized_value,value_realization
AI-061,Collaboration,Support copilot,Discovery,Risk,2025-05-22,325851,No,0.8333333333333334,917540,348665.2,0.38
AI-062,Security,Forecasting,Discovery,Security,2025-06-02,343242,No,1.0,622114,279951.3,0.44999999999999996
AI-063,Networking,Document intelligence,Scaled,Business Operations,2025-06-13,360633,No,1.0,326688,169877.76,0.52
AI-064,Customer Experience,Workflow automation,Scaled,Product,2025-06-24,378024,Yes,0.8333333333333334,237961,140396.99,0.59
AI-065,Finance,Knowledge assistant,Pilot,Data & AI,2025-07-05,395415,No,0.6666666666666666,625156,412602.95999999996,0.6599999999999999
AI-066,Operations,Support copilot,Pilot,Risk,2025-07-16,412806,No,1.0,929730,678702.8999999999,0.7299999999999999
AI-067,Collaboration,Forecasting,Pilot,Security,2025-07-27,430197,No,1.0,634304,507443.19999999995,0.7999999999999999
AI-068,Security,Document intelligence,Discovery,Business Operations,2025-08-07,447588,Yes,0.8333333333333334,91769,79839.03,0.87
AI-069,Networking,Workflow automation,Discovery,Product,2025-08-18,464979,No,0.6666666666666666,332772,312805.68,0.94
AI-070,Customer Experience,Knowledge assistant,Scaled,Data & AI,2025-08-29,482370,No,0.8333333333333334,637346,261311.86,0.41
AI-071,Finance,Support copilot,Scaled,Risk,2025-09-09,499761,No,1.0,393290,188779.2,0.48000000000000004
AI-072,Operations,Forecasting,Pilot,Security,2025-09-20,517152,Yes,1.0,545577,300067.35,0.5499999999999999
AI-073,Collaboration,Document intelligence,Pilot,Business Operations,2025-10-01,534543,No,0.6666666666666666,640388,397040.56,0.62
AI-074,Security,Workflow automation,Pilot,Product,2025-10-12,551934,No,0.8333333333333334,344962,238023.78,0.69
AI-075,Networking,Knowledge assistant,Discovery,Data & AI,2025-10-23,569325,No,1.0,247098,187794.48,0.76
AI-076,Customer Experience,Support copilot,Discovery,Risk,2025-11-03,586716,Yes,1.0,643430,534046.9,0.8300000000000001
AI-077,Finance,Forecasting,Scaled,Security,2025-11-14,604107,No,0.8333333333333334,948004,853203.6,0.9
AI-078,Operations,Document intelligence,Scaled,Business Operations,2025-11-25,621498,No,0.8333333333333334,652578,633000.66,0.9700000000000001
AI-079,Collaboration,Workflow automation,Pilot,Product,2025-12-06,638889,No,1.0,100906,44398.64,0.44
AI-080,Security,Knowledge assistant,Pilot,Data & AI,2025-12-17,656280,Yes,1.0,351046,179033.46,0.51
AI-081,Networking,Support copilot,Pilot,Risk,2025-12-28,673671,No,0.8333333333333334,655620,380259.6,0.58
AI-082,Customer Experience,Forecasting,Discovery,Security,2026-01-08,691062,No,0.6666666666666666,402427,261577.55,0.65
AI-083,Finance,Document intelligence,Discovery,Business Operations,2026-01-19,708453,No,1.0,554714,399394.08,0.7200000000000001
AI-084,Operations,Workflow automation,Scaled,Product,2026-01-30,725844,Yes,1.0,658662,520342.98,0.7899999999999999
AI-085,Collaboration,Knowledge assistant,Scaled,Data & AI,2026-02-10,743235,No,0.8333333333333334,363236,312382.95999999996,0.8599999999999999
AI-086,Security,Support copilot,Pilot,Risk,2026-02-21,760626,No,0.6666666666666666,256235,238298.55,0.9299999999999999
AI-087,Networking,Forecasting,Pilot,Security,2026-03-04,778017,No,0.8333333333333334,661704,264681.6,0.39999999999999997
AI-088,Customer Experience,Document intelligence,Pilot,Business Operations,2026-03-15,795408,Yes,1.0,966278,454150.66,0.47
AI-089,Finance,Workflow automation,Discovery,Product,2026-03-26,812799,No,1.0,670852,362260.07999999996,0.5399999999999999
AI-090,Operations,Knowledge assistant,Discovery,Data & AI,2026-04-06,830190,No,0.6666666666666666,110043,67126.23,0.61
AI-091,Collaboration,Support copilot,Scaled,Risk,2026-04-17,847581,No,0.8333333333333334,369320,251137.59999999998,0.6799999999999999
AI-092,Security,Forecasting,Scaled,Security,2026-04-28,864972,Yes,1.0,673894,505420.5,0.75
AI-093,Networking,Document intelligence,Pilot,Business Operations,2026-05-09,82363,No,1.0,411564,337482.48,0.82
AI-094,Customer Experience,Workflow automation,Pilot,Product,2026-05-20,99754,No,0.8333333333333334,563851,501827.39,0.89
AI-095,Finance,Knowledge assistant,Pilot,Data & AI,2026-05-31,117145,No,0.8333333333333334,676936,649858.5599999999,0.96
AI-096,Operations,Support copilot,Discovery,Risk,2026-06-11,134536,Yes,1.0,381510,164049.3,0.43
AI-097,Collaboration,Forecasting,Discovery,Security,2025-01-08,151927,No,1.0,265372,132686.0,0.5
AI-098,Security,Document intelligence,Scaled,Business Operations,2025-01-19,169318,No,0.8333333333333334,679978,387587.45999999996,0.57
AI-099,Networking,Workflow automation,Scaled,Product,2025-01-30,186709,No,0.6666666666666666,984552,630113.28,0.64
AI-100,Customer Experience,Knowledge assistant,Pilot,Data & AI,2025-02-10,204100,Yes,1.0,689126,489279.46,0.7100000000000001
AI-101,Finance,Support copilot,Pilot,Risk,2025-02-21,221491,No,1.0,119180,92960.4,0.7799999999999999
AI-102,Operations,Forecasting,Pilot,Security,2025-03-04,238882,No,0.8333333333333334,387594,329454.9,0.8500000000000001
AI-103,Collaboration,Document intelligence,Discovery,Business Operations,2025-03-15,256273,No,0.6666666666666666,692168,636794.56,0.92
AI-104,Security,Workflow automation,Discovery,Product,2025-03-26,273664,Yes,0.8333333333333334,420701,164073.39,0.39
AI-105,Networking,Knowledge assistant,Scaled,Data & AI,2025-04-06,291055,No,1.0,572988,263574.48,0.45999999999999996
AI-106,Customer Experience,Support copilot,Scaled,Risk,2025-04-17,308446,No,1.0,695210,368461.3,0.53
AI-107,Finance,Forecasting,Pilot,Security,2025-04-28,325837,No,0.6666666666666666,399784,239870.40000000002,0.6000000000000001
AI-108,Operations,Document intelligence,Pilot,Business Operations,2025-05-09,343228,Yes,0.8333333333333334,274509,183921.03,0.67
AI-109,Collaboration,Workflow automation,Pilot,Product,2025-05-20,360619,No,1.0,698252,516706.48,0.74
AI-110,Security,Knowledge assistant,Discovery,Data & AI,2025-05-31,378010,No,1.0,1002826,812289.06,0.81
AI-111,Networking,Support copilot,Discovery,Risk,2025-06-11,395401,No,0.8333333333333334,707400,622512.0,0.88
AI-112,Customer Experience,Forecasting,Scaled,Security,2025-06-22,412792,Yes,0.8333333333333334,128317,121901.15,0.95
AI-113,Finance,Document intelligence,Scaled,Business Operations,2025-07-03,430183,No,1.0,405868,170464.56,0.42
AI-114,Operations,Workflow automation,Pilot,Product,2025-07-14,447574,No,1.0,710442,348116.57999999996,0.48999999999999994
AI-115,Collaboration,Knowledge assistant,Pilot,Data & AI,2025-07-25,464965,No,0.8333333333333334,429838,240709.28,0.5599999999999999
AI-116,Security,Support copilot,Pilot,Risk,2025-08-05,482356,Yes,0.6666666666666666,582125,366738.75,0.63
AI-117,Networking,Forecasting,Discovery,Security,2025-08-16,499747,No,1.0,713484,499438.80000000005,0.7000000000000001
AI-118,Customer Experience,Document intelligence,Discovery,Business Operations,2025-08-27,517138,No,1.0,418058,321904.66000000003,0.7700000000000001
AI-119,Finance,Workflow automation,Scaled,Product,2025-09-07,534529,No,0.8333333333333334,283646,238262.64,0.8400000000000001
AI-120,Operations,Knowledge assistant,Scaled,Data & AI,2025-09-18,551920,Yes,0.6666666666666666,716526,652038.66,0.91
AI-121,Collaboration,Support copilot,Pilot,Risk,2025-09-29,569311,No,0.8333333333333334,1021100,388018.0,0.38
AI-122,Security,Forecasting,Pilot,Security,2025-10-10,586702,No,1.0,725674,326553.30000000005,0.45000000000000007
AI-123,Networking,Document intelligence,Pilot,Business Operations,2025-10-21,604093,No,1.0,137454,71476.08,0.52
AI-124,Customer Experience,Workflow automation,Discovery,Product,2025-11-01,621484,Yes,0.6666666666666666,424142,250243.78,0.59
AI-125,Finance,Knowledge assistant,Discovery,Data & AI,2025-11-12,638875,No,0.8333333333333334,728716,480952.55999999994,0.6599999999999999
AI-126,Operations,Support copilot,Scaled,Risk,2025-11-23,656266,No,1.0,438975,320451.75,0.73
AI-127,Collaboration,Forecasting,Scaled,Security,2025-12-04,673657,No,1.0,591262,473009.6,0.7999999999999999
AI-128,Security,Document intelligence,Pilot,Business Operations,2025-12-15,691048,Yes,0.8333333333333334,731758,636629.46,0.87
AI-129,Networking,Workflow automation,Pilot,Product,2025-12-26,708439,No,0.8333333333333334,436332,410152.08,0.9400000000000001
AI-130,Customer Experience,Knowledge assistant,Pilot,Data & AI,2026-01-06,725830,No,1.0,292783,120041.03,0.41
AI-131,Finance,Support copilot,Discovery,Risk,2026-01-17,743221,No,1.0,734800,352704.0,0.48
AI-132,Operations,Forecasting,Discovery,Security,2026-01-28,760612,Yes,0.8333333333333334,1039374,571655.7,0.5499999999999999
AI-133,Collaboration,Document intelligence,Scaled,Business Operations,2026-02-08,778003,No,0.6666666666666666,743948,461247.76,0.62
AI-134,Security,Workflow automation,Scaled,Product,2026-02-19,795394,No,1.0,146591,101147.79,0.69
AI-135,Networking,Knowledge assistant,Pilot,Data & AI,2026-03-02,812785,No,1.0,442416,336236.16000000003,0.7600000000000001
AI-136,Customer Experience,Support copilot,Pilot,Risk,2026-03-13,830176,Yes,0.8333333333333334,746990,620001.7,0.83
AI-137,Finance,Forecasting,Pilot,Security,2026-03-24,847567,No,0.6666666666666666,448112,403300.8,0.9
AI-138,Operations,Document intelligence,Discovery,Business Operations,2026-04-04,864958,No,0.8333333333333334,600399,582387.03,0.9700000000000001
AI-139,Collaboration,Workflow automation,Discovery,Product,2026-04-15,82349,No,1.0,750032,330014.07999999996,0.43999999999999995
AI-140,Security,Knowledge assistant,Scaled,Data & AI,2026-04-26,99740,Yes,1.0,454606,231849.06,0.51
AI-141,Networking,Support copilot,Scaled,Risk,2026-05-07,117131,No,0.6666666666666666,301920,175113.6,0.5800000000000001
AI-142,Customer Experience,Forecasting,Pilot,Security,2026-05-18,134522,No,0.8333333333333334,753074,489498.1,0.65
AI-143,Finance,Document intelligence,Pilot,Business Operations,2026-05-29,151913,No,1.0,1057648,761506.56,0.7200000000000001
AI-144,Operations,Workflow automation,Pilot,Product,2026-06-09,169304,Yes,1.0,762222,602155.38,0.79
AI-145,Collaboration,Knowledge assistant,Discovery,Data & AI,2025-01-06,186695,No,0.8333333333333334,155728,133926.08,0.8599999999999999
AI-146,Security,Support copilot,Discovery,Risk,2025-01-17,204086,No,0.8333333333333334,460690,428441.7,0.93
AI-147,Networking,Forecasting,Scaled,Security,2025-01-28,221477,No,1.0,765264,306105.6,0.39999999999999997
AI-148,Customer Experience,Document intelligence,Scaled,Business Operations,2025-02-08,238868,Yes,1.0,457249,214907.03,0.47
AI-149,Finance,Workflow automation,Pilot,Product,2025-02-19,256259,No,0.8333333333333334,609536,329149.44,0.54
AI-150,Operations,Knowledge assistant,Pilot,Data & AI,2025-03-02,273650,No,0.6666666666666666,768306,468666.66000000003,0.6100000000000001
AI-151,Collaboration,Support copilot,Pilot,Risk,2025-03-13,291041,No,1.0,472880,321558.4,0.68
AI-152,Security,Forecasting,Discovery,Security,2025-03-24,308432,Yes,1.0,311057,233292.75,0.75
AI-153,Networking,Document intelligence,Discovery,Business Operations,2025-04-04,325823,No,0.8333333333333334,771348,632505.36,0.82
AI-154,Customer Experience,Workflow automation,Scaled,Product,2025-04-15,343214,No,0.6666666666666666,1075922,957570.58,0.89
AI-155,Finance,Knowledge assistant,Scaled,Data & AI,2025-04-26,360605,No,0.8333333333333334,780496,749276.16,0.9600000000000001
AI-156,Operations,Support copilot,Pilot,Risk,2025-05-07,377996,Yes,1.0,164865,70891.95,0.43
AI-157,Collaboration,Forecasting,Pilot,Security,2025-05-18,395387,No,1.0,478964,239482.0,0.5
AI-158,Security,Document intelligence,Pilot,Business Operations,2025-05-29,412778,No,0.6666666666666666,783538,446616.66,0.57
AI-159,Networking,Workflow automation,Discovery,Product,2025-06-09,430169,No,0.8333333333333334,466386,298487.04,0.6399999999999999
AI-160,Customer Experience,Knowledge assistant,Discovery,Data & AI,2025-06-20,447560,Yes,1.0,618673,439257.83,0.7100000000000001
AI-161,Finance,Support copilot,Scaled,Risk,2025-07-01,464951,No,1.0,786580,613532.3999999999,0.7799999999999999
AI-162,Operations,Forecasting,Scaled,Security,2025-07-12,482342,No,0.8333333333333334,491154,417480.9,0.8500000000000001
AI-163,Collaboration,Document intelligence,Pilot,Business Operations,2025-07-23,499733,No,0.8333333333333334,320194,294578.48,0.9199999999999999
AI-164,Security,Workflow automation,Pilot,Product,2025-08-03,517124,Yes,1.0,789622,307952.58,0.39
AI-165,Networking,Knowledge assistant,Pilot,Data & AI,2025-08-14,534515,No,1.0,1094196,503330.16000000003,0.46
AI-166,Customer Experience,Support copilot,Discovery,Risk,2025-08-25,551906,No,0.8333333333333334,798770,423348.1,0.5299999999999999
AI-167,Finance,Forecasting,Discovery,Security,2025-09-05,569297,No,0.6666666666666666,174002,104401.2,0.6
AI-168,Operations,Document intelligence,Scaled,Business Operations,2025-09-16,586688,Yes,1.0,497238,333149.46,0.67
AI-169,Collaboration,Workflow automation,Scaled,Product,2025-09-27,604079,No,1.0,801812,593340.88,0.74
AI-170,Security,Knowledge assistant,Pilot,Data & AI,2025-10-08,621470,No,0.8333333333333334,475523,385173.63,0.81
AI-171,Networking,Support copilot,Pilot,Risk,2025-10-19,638861,No,0.6666666666666666,627810,552472.8,0.8800000000000001
AI-172,Customer Experience,Forecasting,Pilot,Security,2025-10-30,656252,Yes,0.8333333333333334,804854,764611.3,0.9500000000000001
AI-173,Finance,Document intelligence,Discovery,Business Operations,2025-11-10,673643,No,1.0,509428,213959.76,0.42000000000000004
AI-174,Operations,Workflow automation,Discovery,Product,2025-11-21,691034,No,1.0,329331,161372.19,0.49
AI-175,Collaboration,Knowledge assistant,Scaled,Data & AI,2025-12-02,708425,No,0.6666666666666666,807896,452421.76,0.56
AI-176,Security,Support copilot,Scaled,Risk,2025-12-13,725816,Yes,0.8333333333333334,1112470,700856.1000000001,0.6300000000000001
AI-177,Networking,Forecasting,Pilot,Security,2025-12-24,743207,No,1.0,817044,571930.8,0.7000000000000001
AI-178,Customer Experience,Document intelligence,Pilot,Business Operations,2026-01-04,760598,No,1.0,183139,141017.03,0.77
AI-179,Finance,Workflow automation,Pilot,Product,2026-01-15,777989,No,0.8333333333333334,515512,433030.08,0.8400000000000001
AI-180,Operations,Knowledge assistant,Discovery,Data & AI,2026-01-26,795380,Yes,0.8333333333333334,820086,746278.26,0.91
